date,month,channel, daily_spend_usd ,impressions
01/07/2025,July,Google Ads," $1,378.86 ",83577
01/07/2025,July,Meta Ads," $4,637.61 ",104010
01/07/2025,July,Email Marketing," $3,533.56 ",193768
01/07/2025,July,LinkedIn Ads," $1,698.63 ",119687
01/07/2025,July,TikTok Ads," $1,432.58 ",20578
02/07/2025,July,Google Ads," $4,723.42 ",36680
02/07/2025,July,Meta Ads," $3,921.69 ",154277
02/07/2025,July,Email Marketing, $633.97 ,28697
02/07/2025,July,LinkedIn Ads, $905.44 ,123173
02/07/2025,July,TikTok Ads," $1,638.76 ",32650
03/07/2025,July,Google Ads," $2,726.03 ",55430
03/07/2025,July,Meta Ads," $2,314.39 ",122463
03/07/2025,July,Email Marketing," $1,398.54 ",32434
03/07/2025,July,LinkedIn Ads, $543.06 ,180845
03/07/2025,July,TikTok Ads," $1,590.65 ",185734
04/07/2025,July,Google Ads," $3,514.70 ",11572
04/07/2025,July,Meta Ads," $1,153.60 ",86929
04/07/2025,July,Email Marketing, $826.79 ,187425
04/07/2025,July,LinkedIn Ads," $1,316.27 ",94255
04/07/2025,July,TikTok Ads," $2,041.60 ",13832
05/07/2025,July,Google Ads," $3,418.20 ",69201
05/07/2025,July,Meta Ads," $4,118.44 ",46578
05/07/2025,July,Email Marketing, $252.30 ,107008
05/07/2025,July,LinkedIn Ads," $4,287.55 ",146739
05/07/2025,July,TikTok Ads," $3,765.58 ",66497
06/07/2025,July,Google Ads, $564.15 ,27714
06/07/2025,July,Meta Ads," $4,039.09 ",37645
06/07/2025,July,Email Marketing, $695.12 ,17166
06/07/2025,July,LinkedIn Ads," $4,168.82 ",59271
06/07/2025,July,TikTok Ads, $740.50 ,106010
07/07/2025,July,Google Ads," $1,923.97 ",166228
07/07/2025,July,Meta Ads," $4,694.12 ",23030
07/07/2025,July,Email Marketing," $2,953.39 ",68848
07/07/2025,July,LinkedIn Ads," $4,595.40 ",20657
07/07/2025,July,TikTok Ads, $206.82 ,17900
08/07/2025,July,Google Ads," $1,068.98 ",170341
08/07/2025,July,Meta Ads," $2,272.81 ",34761
08/07/2025,July,Email Marketing, $550.70 ,87913
08/07/2025,July,LinkedIn Ads, $700.39 ,121847
08/07/2025,July,TikTok Ads, $348.12 ,151440
09/07/2025,July,Google Ads," $2,222.47 ",190905
09/07/2025,July,Meta Ads," $2,035.49 ",8728
09/07/2025,July,Email Marketing," $1,975.37 ",112847
09/07/2025,July,LinkedIn Ads, $946.76 ,57286
09/07/2025,July,TikTok Ads," $4,550.69 ",73084
10/07/2025,July,Google Ads," $1,471.29 ",39962
10/07/2025,July,Meta Ads, $269.78 ,163313
10/07/2025,July,Email Marketing," $3,123.19 ",170680
10/07/2025,July,LinkedIn Ads," $1,546.02 ",109001
10/07/2025,July,TikTok Ads," $4,425.62 ",126575
11/07/2025,July,Google Ads, $398.80 ,74341
11/07/2025,July,Meta Ads," $1,976.77 ",110899
11/07/2025,July,Email Marketing," $1,077.34 ",138839
11/07/2025,July,LinkedIn Ads," $1,320.82 ",143516
11/07/2025,July,TikTok Ads," $3,994.75 ",101269
12/07/2025,July,Google Ads," $3,931.39 ",95139
12/07/2025,July,Meta Ads," $2,450.45 ",128055
12/07/2025,July,Email Marketing," $1,785.77 ",149282
12/07/2025,July,LinkedIn Ads," $2,561.73 ",102811
12/07/2025,July,TikTok Ads," $1,425.13 ",7832
13/07/2025,July,Google Ads," $1,662.50 ",58414
13/07/2025,July,Meta Ads, $243.59 ,74644
13/07/2025,July,Email Marketing, $387.10 ,124649
13/07/2025,July,LinkedIn Ads," $2,694.22 ",154089
13/07/2025,July,TikTok Ads," $4,998.07 ",42844
14/07/2025,July,Google Ads, $590.66 ,173193
14/07/2025,July,Meta Ads," $1,281.65 ",140903
14/07/2025,July,Email Marketing," $4,099.80 ",194215
14/07/2025,July,LinkedIn Ads, $373.95 ,58517
14/07/2025,July,TikTok Ads," $2,920.89 ",102822
15/07/2025,July,Google Ads," $1,838.54 ",46537
15/07/2025,July,Meta Ads, $962.89 ,156325
15/07/2025,July,Email Marketing," $1,658.22 ",194489
15/07/2025,July,LinkedIn Ads," $3,518.37 ",156074
15/07/2025,July,TikTok Ads, $238.21 ,184647
16/07/2025,July,Google Ads," $1,823.24 ",149806
16/07/2025,July,Meta Ads," $2,861.67 ",148615
16/07/2025,July,Email Marketing," $4,747.01 ",130034
16/07/2025,July,LinkedIn Ads," $2,756.41 ",47021
16/07/2025,July,TikTok Ads," $2,503.14 ",24660
17/07/2025,July,Google Ads, $375.22 ,158722
17/07/2025,July,Meta Ads," $1,172.16 ",139005
17/07/2025,July,Email Marketing," $2,442.15 ",87962
17/07/2025,July,LinkedIn Ads," $4,597.69 ",53812
17/07/2025,July,TikTok Ads," $4,051.58 ",90327
18/07/2025,July,Google Ads," $3,612.99 ",85826
18/07/2025,July,Meta Ads, $391.82 ,39721
18/07/2025,July,Email Marketing," $2,974.38 ",38133
18/07/2025,July,LinkedIn Ads," $3,894.40 ",138965
18/07/2025,July,TikTok Ads," $4,317.28 ",20013
19/07/2025,July,Google Ads," $1,930.59 ",174575
19/07/2025,July,Meta Ads," $2,038.42 ",27484
19/07/2025,July,Email Marketing," $1,749.15 ",85568
19/07/2025,July,LinkedIn Ads, $768.61 ,42288
19/07/2025,July,TikTok Ads," $3,688.52 ",115522
20/07/2025,July,Google Ads," $3,980.03 ",128716
