Date,Month,Channel,Daily_Spend_USD,Impressions
2025-07-01,July,Google Ads,1378.86,83577
2025-07-01,July,Meta Ads,4637.61,104010
2025-07-01,July,Email Marketing,3533.56,193768
2025-07-01,July,LinkedIn Ads,1698.63,119687
2025-07-01,July,TikTok Ads,1432.58,20578
2025-07-02,July,Google Ads,4723.42,36680
2025-07-02,July,Meta Ads,3921.69,154277
2025-07-02,July,Email Marketing,633.97,28697
2025-07-02,July,LinkedIn Ads,905.44,123173
2025-07-02,July,TikTok Ads,1638.76,32650
2025-07-03,July,Google Ads,2726.03,55430
2025-07-03,July,Meta Ads,2314.39,122463
2025-07-03,July,Email Marketing,1398.54,32434
2025-07-03,July,LinkedIn Ads,543.06,180845
2025-07-03,July,TikTok Ads,1590.65,185734
2025-07-04,July,Google Ads,3514.7,11572
2025-07-04,July,Meta Ads,1153.6,86929
2025-07-04,July,Email Marketing,826.79,187425
2025-07-04,July,LinkedIn Ads,1316.27,94255
2025-07-04,July,TikTok Ads,2041.6,13832
2025-07-05,July,Google Ads,3418.2,69201
2025-07-05,July,Meta Ads,4118.44,46578
2025-07-05,July,Email Marketing,252.3,107008
2025-07-05,July,LinkedIn Ads,4287.55,146739
2025-07-05,July,TikTok Ads,3765.58,66497
2025-07-06,July,Google Ads,564.15,27714
2025-07-06,July,Meta Ads,4039.09,37645
2025-07-06,July,Email Marketing,695.12,17166
2025-07-06,July,LinkedIn Ads,4168.82,59271
2025-07-06,July,TikTok Ads,740.5,106010
2025-07-07,July,Google Ads,1923.97,166228
2025-07-07,July,Meta Ads,4694.12,23030
2025-07-07,July,Email Marketing,2953.39,68848
2025-07-07,July,LinkedIn Ads,4595.4,20657
2025-07-07,July,TikTok Ads,206.82,17900
2025-07-08,July,Google Ads,1068.98,170341
2025-07-08,July,Meta Ads,2272.81,34761
2025-07-08,July,Email Marketing,550.7,87913
2025-07-08,July,LinkedIn Ads,700.39,121847
2025-07-08,July,TikTok Ads,348.12,151440
2025-07-09,July,Google Ads,2222.47,190905
2025-07-09,July,Meta Ads,2035.49,8728
2025-07-09,July,Email Marketing,1975.37,112847
2025-07-09,July,LinkedIn Ads,946.76,57286
2025-07-09,July,TikTok Ads,4550.69,73084
2025-07-10,July,Google Ads,1471.29,39962
2025-07-10,July,Meta Ads,269.78,163313
2025-07-10,July,Email Marketing,3123.19,170680
2025-07-10,July,LinkedIn Ads,1546.02,109001
2025-07-10,July,TikTok Ads,4425.62,126575
2025-07-11,July,Google Ads,398.8,74341
2025-07-11,July,Meta Ads,1976.77,110899
2025-07-11,July,Email Marketing,1077.34,138839
2025-07-11,July,LinkedIn Ads,1320.82,143516
2025-07-11,July,TikTok Ads,3994.75,101269
2025-07-12,July,Google Ads,3931.39,95139
2025-07-12,July,Meta Ads,2450.45,128055
2025-07-12,July,Email Marketing,1785.77,149282
2025-07-12,July,LinkedIn Ads,2561.73,102811
2025-07-12,July,TikTok Ads,1425.13,7832
2025-07-13,July,Google Ads,1662.5,58414
2025-07-13,July,Meta Ads,243.59,74644
2025-07-13,July,Email Marketing,387.1,124649
2025-07-13,July,LinkedIn Ads,2694.22,154089
2025-07-13,July,TikTok Ads,4998.07,42844
2025-07-14,July,Google Ads,590.66,173193
2025-07-14,July,Meta Ads,1281.65,140903
2025-07-14,July,Email Marketing,4099.8,194215
2025-07-14,July,LinkedIn Ads,373.95,58517
2025-07-14,July,TikTok Ads,2920.89,102822
2025-07-15,July,Google Ads,1838.54,46537
2025-07-15,July,Meta Ads,962.89,156325
2025-07-15,July,Email Marketing,1658.22,194489
2025-07-15,July,LinkedIn Ads,3518.37,156074
2025-07-15,July,TikTok Ads,238.21,184647
2025-07-16,July,Google Ads,1823.24,149806
2025-07-16,July,Meta Ads,2861.67,148615
2025-07-16,July,Email Marketing,4747.01,130034
2025-07-16,July,LinkedIn Ads,2756.41,47021
2025-07-16,July,TikTok Ads,2503.14,24660
2025-07-17,July,Google Ads,375.22,158722
2025-07-17,July,Meta Ads,1172.16,139005
2025-07-17,July,Email Marketing,2442.15,87962
2025-07-17,July,LinkedIn Ads,4597.69,53812
2025-07-17,July,TikTok Ads,4051.58,90327
2025-07-18,July,Google Ads,3612.99,85826
2025-07-18,July,Meta Ads,391.82,39721
2025-07-18,July,Email Marketing,2974.38,38133
